AGUA ;2;20;1.71
AGUA EMBOTELLADA;3;20;7
BOLSAS CON AGUA;4;20;1.65
ALMUERZOS;5;20;5
AVENA;5;20;1.3
AZUCAR;6;20;2.5
CAFÉ ;6;20;4
CAFÉ DE BOTE 170 G;5;20;5.25
CENAS TIPICAS;5;20;4
CREMORA 35.3 ONZ ;5;20;5.5
GALLETAS ;7;20;2.25
JUGOS;3;20;8
LATAS DE GASEOSAS;3;20;11.2
PLATO FUERTE;5;20;9
REFRIGERIOS;8;20;1
REFRIGERIOS DE SÁNDWICH CON PAPAS Y QUESADILLA ;5;20;4.75
SAL;6;20;0.15
TARGETAS DE REGALO CENAS;5;20;10
TE DE MANZANILLA;3;20;1.5
ALIMAX PERRO ADULTO 44 LBS;9;21;15
RUFO CACHORRO 44 LBS;9;21;20.9
SHOPER CAN ADULTO;9;21;16.2
SHOPER CAN CACHORRO;9;21;19.05
AGUACATE;1;22;3
CAFE;1;22;0.5
CENECIO;1;22;2.25
CIPRES MEDIANO;1;22;1
CIPRES PEQUEÑO;1;22;1
CROTO;1;22;2.25
DOCENAS DE TABLA 4 VARAS;1;22;108
GARDENIA;1;22;2.25
IXORA ENANA;1;22;2.25
IXORA ROJA COLOCHA;1;22;2.25
LIMON;1;22;2
MANDARINA;1;22;2
MANGO;1;22;3
MANGO DE REPUESTO PARA PALA PROMO;1;22;5.35
MELAMINA CEREZO MADERADO 15MM;1;22;59.49
MELAMINA MANZANO;10;22;62.71
NANCE;1;22;2.5
NARANJA;1;22;2
PINO MEDIANO;1;22;1
PINO PEQUEÑO;1;22;1
PLATANO;1;22;0.75
PLYWOOD;10;22;36.95
POLIALTA;1;22;2.5
TABLAS DE 4 VARAS DE PINO;1;22;8
TECA;1;22;0.5
TRAPEADOR (PALO MADERA);1;22;3
BOTA INDUSTRIAL CUBO;1;23;47.5
BOTA DIELECTRICA ;1;23;68.93
BOTA JUNGLA;1;23;55.8
BOTA PORTO;1;23;68.93
BOTA PORTO 6 PULG;1;23;64
BOTA TRUPER;1;23;60
BOTAS CATERPILLAR;1;23;140
BOTAS CON CUBO;1;23;63.75
BOTIN DE SEGURIDAD C/CUBO METALICO Y PLANTILLA ANTIPERFORADOR;1;23;47.46
BOTIN INDUSTRIAL;1;23;47.46
CAMISA CONFECCIONADA EN TELA OJO CIEGO;1;23;12
CAMISA DE ALGODON;1;23;7.33
CAMISAS C/LOGO;1;23;21
CAMISAS CUELLO REDONDO;1;23;10.17
CATERPILLAR AECOND SHIEFL NEGRO;1;23;63.75
CHALECOS REFLECTIVO;1;23;8
CHALECO BRIGADISTA;1;23;14.95
FRANELA;1;23;1
GABACHA O BATA ;1;23;21.5
GORRAS;1;23;9
JEANS AZULES;1;23;17.5
MICROFIBRA SCOTCHBRITE PAÑO;1;23;19.9
PANTALONES DE VESTIR;1;23;21
PAR DE MEDIAS;1;23;2
TRAJE DE DOS PIEZAS;1;23;22.23
UNIFORME 3ER LUGAR;1;23;10
UNIFORME DE FUTBOL INFANTIL;1;23;24
UNIFORME PARA CAMPEON DE LIGUILLA;1;23;10
UNIFORME PARA CAMPEON FEMENINO;1;23;12
UNIFORME PARA CAMPEON MASCULINO;1;23;12
UNIFORMES ADMINISTRATIVOS  ;11;23;70
UNIFORMES PARA ORDENANZAS;11;23;50
UNIFORMES DE FABRICA SUBCAMPEON;1;23;14
UNIFORMES DE FUTBOL DE ADULTO;1;23;28
UNIFORMES DE VOLEIBO;1;23;33.9
UNIFORMES PARA EL 4TO LUGAR;1;23;10
UNIFORMES PARA SUBCAMPEON FEMENINO;1;23;10
UNIFORMES SUBLIMADO;1;23;20
AGENDA GERENCIAL PERSONALIZADA;1;24;16
AGENDA DIARIA;1;24;12
ARCHIVADOR DE PALANCA T/C;1;24;2
ARCHIVADOR DE PALANCA T/O;1;24;2.15
BOLSA MANILA 9X12 T/CARTA;1;24;0.07
"BOLSA MANILA ""10x15"" T/OFICIO";1;24;0.08
"BOLSA MANILA ""12x15""";1;24;0.1
"BOLSA MANILA ""7x10""";1;24;0.06
BOLSA MANILA 06X9;1;24;0.03
CAJAS DE CARTON GRANDES;1;24;3
CAJAS DE CARTON PEQUEÑAS;1;24;1
CARPETA COLGANTE T/O;1;24;0.55
CARTULINA PLIEGO ;1;24;0.2
CARTULINA T/C;1;24;0.3
CONO PARA AGUA ;7;24;1.9
CUADERNO MULTIMATERIA ;1;24;5.5
FOLDER DE COLORES T/C;1;24;0.14
FOLDER DE COLORES T/O;1;24;0.2
FOLDER MANILA TAMAÑO CARTA;1;24;0.07
FOLDER MANILA TAMAÑO OFICIO;1;24;0.08
HOJAS AGUJERADAS LEDGER B-32;1;24;0.1074
LIBRETA RAYADA TAMAÑO CARTA;1;24;0.6
LIBRO DE ACTAS;1;24;6.5
ORDER BOOK;1;24;0.8
PAGINAS DE COLORES;1;24;0.02
PAPEL BOND B-20 TAMAÑO CARTA;12;24;3
PAPEL BOND B-20 TAMAÑO OFICIO;12;24;3.75
PAPEL CONTOMETRO;1;24;0.25
PAPEL ESTAÑO ;1;24;0.8
PAPEL FOTOGRAFICO;12;24;10.5
PAPEL HIGIENICO SMART ONE ;3;24;26.22
PAPEL HIGIENICO  JUMBO;3;24;54.6
PAPEL KRAF 30X40 PLIEGO;1;24;0.35
PAPEL LUSTRE DE COLORES;1;24;0.15
PAPEL TOALLA (CAJA 12 ROLLOS);3;24;42.86
PAPEL TOALLA SCOTH;1;24;3
PLIEGO DE PAPEL BOND;10;24;0.1
POST-IT ;13;24;3.5
SERVILLETAS;7;24;0.6
SOBRES BLANCOS TAMAÑO OFICIO;1;24;0.02
GUANTES DE CUERO;1;25;4.48
BOTA DE HULE;14;25;9.75
MANGUERA ALTA PRESION 3/8X8 ;1;25;282.5
MANGUERA BOMBA AGUA;1;25;15.71
MANGUERA D/ AIRE 15 PIES;1;25;14
MANGUERA DE TUBERÍA INTERCOLLER;1;25;28
MANGUERA FRENOS;1;25;14.12
MANGUERA FRENOS 36;1;25;14.44
MANGUERA HIDR #10;1;25;8
MANGUERA HIDRÁULICA # 04;1;25;4
MANGUERA ORIG;1;25;29.22
MANGUERA P/ MAXIFERNO 1/2;1;25;13.47
MANGUERA P/ MAXIFRENO;1;25;13.47
MANGUERA PLASTICA DE 1 PUL;1;25;109.25
MANGUERAS PARA BOMBA DE ENGRASE;1;25;8
PIE DE CABLE;1;25;4.68
PIE DE MANGUERA;1;25;10
PIE DE MANGUERA 5/8;1;25;8
PIE DE MANGUERA AIRE;1;25;2.5
PIE DE MANGUERA DE GASOLINA;1;25;3.9
PIE DE MANGUERA MR;1;25;1.63
PIE DE MANGUERA PLASTICA P/ AIRE;1;25;0.9
PIE MANGUERA ALTA PRESION;1;25;4.5
PIE MANGUERA DE GASOLINA;1;25;1.5
POLIURETANO;1;25;9.04
ACETILENO T/G;1;26;0.5
ACIDO DESINCRUSTANTE ;1;26;50
ACIDO MURIATICO;15;26;2.3
ACIDO MURIATICO  (20 %);15;26;52
ACIDO MURIATICO  AINSA;15;26;0.49
ACIDO MURIÁTICO PARA PISCINA ;15;26;6
ACIDO P/ BATERIA;15;26;25
ACIDO REGULADOR ;1;26;2.9
ADEHERENTE AUTOMOTRIZ;15;26;3.39
ADELGAZADOR T-GN-S/;1;26;4.9
ADHESIVO WA-500 ;1;26;40
AGUA DESMINERADA;1;26;24.54
AGUA P/BATERÍA;15;26;4
AIRE COMPRIMIDO ;1;26;12.5
ALCOHOL EN SPRAY;1;26;4
ALCOHOL GEL;15;26;23
ALGUICIDA PARA PISCINA;1;26;15.95
ANTI GRAVA ;1;26;15
ANTIC LANCO;1;26;13.95
ANTIC. CLASICA;1;26;38
ANTICORROSIVO;15;26;26.6
ANTICORROSIVO NEGRO;16;26;11
ANTIPARASITARIO ECTOBULL;1;26;30
ANTOCORROSIVO 4000 NEGRO ;1;26;13.85
AROMATIZANTE GLADE;1;26;3.25
ARRANCADOR ETER;1;26;26.3
ATALIZADOR ULTRA 7000 NORMAL;1;26;2.4
BACTOL AEROSOL;1;26;8.5
BARNIZ MARINO KORAL;1;26;6
BARNIZ ROBLE OSCURO SHERWIN;16;26;6
BARNIZ SUPER MARINO;1;26;13.1
BASE AUTOM. NITRO GRIS CLARO.;1;26;5.38
BASE AUTOMOTRIZ NITRO AMARILLO;1;26;11
BASE AUTOMOTRIZ NITRO CLARO OPEXCOMBO;1;26;20
BASE AUTOMOTRIZ NITRO GRIS ;1;26;10.23
BASE AUTOMOTRIZ NITRO GRIS C;1;26;32.9
BASE BLANCA HIGH STANDAR;15;26;5.5
BASE BLANCA HIGH STANDARD LATEX;1;26;33.15
BASE COMBO GRIS CLARO;1;26;31.5
BAYGON OKO;1;26;28.5
BLANCA SUR TRADICIONAL;17;26;11.5
CARGA DE EXTINTOR C02;1;26;10
CARGA DE EXTINTOR DE 10 LBS;1;26;33.02
CARGA DE EXTINTOR DE 15 LBS;1;26;10.57
CARGA DE EXTINTOR DE 2.5 LBS.;1;26;10.56
CARGA DE EXTINTOR DE 20 LBS;1;26;18.77
CARGA DE EXTINTOR DE 5 LBS.;1;26;5.83
CARGA EXTINTOR ABC ;1;26;24
CATALIZADOR;15;26;20
CATALIZADOR 30 CC ;1;26;7.77
CATALIZADOR P/ BASE;1;26;24
CATALIZADOR ULTRA 7000 NORMAL;1;26;1.1
CLEAR CON CATALIZADOR;1;26;40.65
CLEAR ULTRA 7000 PERFORMANCE;1;26;32
CLEAR ULTRA 7000 SUPER PRODUCTIVO;1;26;22
CLEARCOAT EXCELBASE;1;26;110
CLEARCOAT EXCELBASE 2K UNIVERSAL;1;26;135.48
COADYUVANTE AGRICOLA IMBIREX;1;26;24.54
COLONIAL LATEX BLANCO ;1;26;44.9
CONTAC CLEAR;1;26;3.5
COOPER PERMATEX;1;26;40
COOPER SPRAY;1;26;4
DESENGRASANTE ALCALINO;1;26;23
DESENGRASANTE HAND CLEANER ABRO;18;26;54.15
DESENGRASANTE INDUSTRIAL;1;26;26
DESINFECTANTE PARA PISO;15;26;5
DESINFECTANTE PARA PISO;2;26;28.75
DESINFECTANTE PARA BAÑO;18;26;9
DESODORANTE PARA BAÑOS;1;26;8
DETAR CLEANER;15;26;5
DETERGENTE;19;26;6
DETERGENTE ;4;26;14.12
DETERGENTE 1500 GR;4;26;36.73
DETERGENTE EN POLVO INDUSTRIAL 10 LIB;19;26;56.16
DETERGENTE INDUSTRIAL EN POLVO;1;26;4.57
DETERGENTE LIQUIDO;1;26;36.72
DRUM X 45 DESINCRUSTANT;2;26;7
DRUM X45 ACIDO DESINCRUSTANTE C;15;26;25
DRUMEX P DETERGENTE EN POLVO;1;26;5.5
EASY CREAM;15;26;4.95
ENDURECEDOR P/PRIMARIO MONOCAPA ;1;26;27.2
ENDURECEDOR P/PRIMARIO, MONOCAPA;20;26;16
EPOXIMIL;1;26;22
EPOXIMIL LOCTITE;1;26;20
ESM EXCELLO BLANCO ;1;26;3.25
ESM SUPRA DEEP ;15;26;80
ESM WALL MASTER ACCENT ;1;26;3
ESM. CLAS BLANCO;1;26;33.9
ESM. SUPRA BLANCO ;1;26;35
ESM. SUPRA PASTEL;1;26;13
ESM. WALL MASTER BLANCO WS705-5 QT;1;26;28.5
ESMALTE FAST DRY;1;26;136
ESMALTE FAST DRY ;1;26;10.5
ESMALTE KEM LUSTRAL;1;26;16
ESMALTE KEM LUSTRAL;1;26;36.9
ESMALTE KEM LUSTRAL AMARILLO CATERPILLAR;1;26;36.5
ESPUMA DE POLIURETANO;1;26;28.75
